title,views,when,link,created_at
What's Next for Tucker Carlson After Leaving Fox News,1.1M views,15 hours ago,https://www.youtube.com/watch?v=93bKqX7PgwM,2023.4.28
Dave Smith on the Pentagon Document Leaks,369K views,15 hours ago,https://www.youtube.com/watch?v=jDZDruIwjIU,2023.4.28
"""Brazil's Roswell"" Still a Mystery More Than 25 Years Later",1.2M views,1 day ago,https://www.youtube.com/watch?v=Eh8lFEzMMXA,2023.4.28
Clovis People: The Original North Americans - Historian Dan Flores Explains,1.1M views,2 days ago,https://www.youtube.com/watch?v=x26XiY0UfUY,2023.4.28
Ric Flair on Surviving Horrific Plane Crash,768K views,5 days ago,https://www.youtube.com/watch?v=iCLXrtlpbOU,2023.4.28
How Ric Flair Developed His Persona,1M views,5 days ago,https://www.youtube.com/watch?v=D3M9Q0WwuFY,2023.4.28
Joey Diaz on Quitting Xanax,2M views,6 days ago,https://www.youtube.com/watch?v=l8clIAdBsE0,2023.4.28
The Burmese Python Invasion of Florida,899K views,7 days ago,https://www.youtube.com/watch?v=fyVJkoeFAJ8,2023.4.28
Budweiser Responds to Backlash with New Commercial,2.6M views,7 days ago,https://www.youtube.com/watch?v=W19_Sh_kSqk,2023.4.28
Should We Be Fearful of Artificial Intelligence?,952K views,8 days ago,https://www.youtube.com/watch?v=YaJ_K2ie3OI,2023.4.28
Howie Mandel on Managing His OCD,392K views,8 days ago,https://www.youtube.com/watch?v=IcZMGRrYTak,2023.4.28
"Minds Founder Bill Ottman on ""Sneaky"" TikTok Ban",505K views,2 weeks ago,https://www.youtube.com/watch?v=2eZ-FX_V-tY,2023.4.28
Joe's Take on the Bud Light Controversy,2.5M views,2 weeks ago,https://www.youtube.com/watch?v=qOshNADfQ1M,2023.4.28
"Joe Makes Sam Tallent Try ""Mad Honey""",700K views,2 weeks ago,https://www.youtube.com/watch?v=FLXB3zmWzbI,2023.4.28
Jason Everman Went from Being in Nirvana and Soundgarden to Being an Army Ranger,1.4M views,2 weeks ago,https://www.youtube.com/watch?v=22vmU-8LByA,2023.4.28
Cory Sandhagen Describes Chito Vera Fight as a Psychedelic Experience,561K views,2 weeks ago,https://www.youtube.com/watch?v=sg0Qyhh7kew,2023.4.28
Having Social Media Discipline,530K views,3 weeks ago,https://www.youtube.com/watch?v=Z61hF6gDp-A,2023.4.28
The Overreach of theTikTok Bill,1.1M views,3 weeks ago,https://www.youtube.com/watch?v=vKnjXgtDTVQ,2023.4.28
Why David Choe Stopped Playing Life Like a Video Game,1.3M views,3 weeks ago,https://www.youtube.com/watch?v=V_v5tS3WRQ8,2023.4.28
Rick Doblin Debunks Myths and Details Breakthroughs in MDMA Research,481K views,3 weeks ago,https://www.youtube.com/watch?v=eEOXc9ufQjE,2023.4.28
How Intelligence Agencies Infiltrated Social Media Companies,1.3M views,4 weeks ago,https://www.youtube.com/watch?v=p1GONgRrdKs,2023.4.28
"""We Need the Aliens!""",1M views,4 weeks ago,https://www.youtube.com/watch?v=VghI_sdi3TM,2023.4.28
Eddie Huang Reflects on the Wild Days of Vice,756K views,4 weeks ago,https://www.youtube.com/watch?v=6WR2jLdgGqg,2023.4.28
Protests in France and Macron Taking His Watch Off,1.7M views,4 weeks ago,https://www.youtube.com/watch?v=MlRom1PwrHE,2023.4.28
Why Healthcare Costs Are So High in America,1.3M views,4 weeks ago,https://www.youtube.com/watch?v=oEMX_quSMZY,2023.4.28
